quotedate,adstock99_face_video_impressions_low_ctr,adstock99_face_video_impressions_medium_ctr,adstock99_face_video_impressions_high_ctr,adstock99_face_all_impressions_low_ctr,adstock99_face_all_impressions_medium_ctr,adstock99_face_all_impressions_high_ctr,adstock99_insta_all_impressions_low_ctr,adstock99_insta_all_impressions_medium_ctr,adstock99_insta_all_impressions_high_ctr,multiple_quotes,Clicks_google_ads_nobrand_10654533086,Clicks_google_ads_nobrand_10907549225,Clicks_google_ads_nobrand_12469017996,Clicks_google_ads_nobrand_12499022096,nobrand_grouped,Clicks_google_ads_brand_178777874,Clicks_google_ads_brand_2074159850,Clicks_google_ads_brand_7773934687,Clicks_google_ads_brand_11806585366,brand_grouped,dummy_20211227_20220103,dummy_20220110_20220124,dummy_20210823_20211025,summer,dummy_2022613_20220718,dummy_20220101_20220131,dummy_20210726_20210920,commercial_vehicle_registrations,adstock50_TV,adstock95_TV
2021-03-02,183980.0,0.0,0.0,184259.0,4746.0,2477.0,185278.0,18567.0,598.0,2229.0,830.0,8.0,0.0,0.0,1907.0,276.0,1668.0,467.0,1.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,109.59286245442333,2095.147952037414
2021-03-03,324011.98371124093,0.0,0.0,255608.80418333263,47013.25792310876,5031.872076599325,369990.06605093647,20786.955933072128,61.77291150843602,2341.0,925.0,7.0,0.0,0.0,2222.0,276.0,1700.0,434.0,3.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,118.06227753081919,2098.6530574398407
2021-03-04,321553.17323991185,0.0,0.0,258007.18067156215,53060.43113947738,6571.788275099566,376963.67158723227,19765.275567530807,6.381091298041918,2289.0,735.0,8.0,59.0,0.0,2699.0,259.0,1438.0,448.0,4.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,125.73322718798443,2102.1325726566556
2021-03-05,287218.1801267657,0.0,0.0,228434.9310036212,55554.09919294047,3330.8603604847876,344078.03934256395,17384.736820356076,0.6591615185304256,2167.0,629.0,9.0,94.0,0.0,2714.0,230.0,1391.0,444.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,132.68098781985609,2105.586684517504
2021-03-06,272909.4033855932,0.0,0.0,212085.14176976986,52848.693065846805,761.0751543397728,324501.9803951578,17758.829112376763,0.06809084641128142,1914.0,487.0,7.0,86.0,0.0,2354.0,217.0,1058.0,315.0,2.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,138.9737390377834,2109.01557848802
2021-03-07,276369.3184367196,0.0,0.0,222747.2218976557,7296.226822898078,120.61844173963222,285210.78949709417,17678.472540555664,0.007033728812539457,1856.0,509.0,6.0,87.0,0.0,2093.0,160.0,1149.0,311.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,144.67323272918568,2112.419438679783
2021-03-08,330417.724835181,0.0,0.0,283432.606065274,2430.6942706962545,625.459786501451,335363.0415733364,15809.171772327862,0.0007265784406544091,2384.0,707.0,12.0,86.0,0.0,2431.0,289.0,1560.0,496.0,1.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,154.25397046838302,2120.2170192887775
2021-03-09,342145.88106532174,0.0,0.0,301321.3566773839,1823.0887325882645,967.6094850228084,347705.72824466496,14751.074529955977,7.505495939545525e-05,2383.0,841.0,6.0,88.0,18.0,2988.0,249.0,1619.0,408.0,2.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,162.9314713598803,2127.9576710719025
2021-03-10,349166.3900234515,0.0,0.0,302101.2500027323,1962.3235768398022,447.95326938635,353126.71769537457,15062.7739491527,7.753115994991165e-06,2446.0,874.0,11.0,140.0,172.0,2743.0,315.0,1612.0,454.0,3.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,170.79088926398057,2135.641809656951
2021-03-11,340456.60286394437,0.0,0.0,289236.812346165,1781.7064225134495,515.2732068055478,346002.7014773593,12742.972244536095,8.00890548951888e-07,2082.0,453.0,7.0,214.0,164.0,1091.0,246.0,1748.0,454.0,5.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,177.9093500470636,2143.2698476372866
2021-03-12,207781.88896517924,0.0,0.0,149141.9264448859,1716.04881801327,525.2273013489418,204836.79642147277,12640.338623438436,8.273133947884235e-08,1902.0,450.0,8.0,198.0,171.0,1263.0,200.0,1421.0,357.0,1.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2857142857143,184.3567084314365,2150.842194593998
